actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
H1 2026 IRAN BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_2.csv,domain,sizinyol[.]org,Iran,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_2.csv,domain,qafqaztimes[.]com,Iran,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_2.csv,asset_count,367 Accounts,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_2.csv,asset_count,3 Pages,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_2.csv,asset_count,360 Accounts,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_2.csv,behavior,"This operation, active since 2022, was characterized by high-quality persona building; fake accounts included detailed information such as relationship statuses, education, and specific professions.",Iran,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.8 Posing as fictional person in target region,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_2.csv,behavior,The network attempted to inject narratives into the comment sections of prominent authentic news pages like the BBC and RadioLiberty.,Iran,,,7. Targeted engagement > 7.3 Engaging with specific audience > 7.3.3 Commenting on specific posts,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_2.csv,behavior,"Some of the accounts in this network were designed to reflect the actual Azerbaijani diaspora in Russia, speaking Russian and claiming to live in Moscow.",Iran,,,7. Targeted engagement > 7.3 Engaging with specific audience > 7.3.4  Utilising Language-Specific Campaigns,meta_kill_chain,,,2026-09-11
