actor_id,actor_name,country,provider,unit,value,source
LABEL:poland-based-cib-network,Poland Based Cib Network,Poland,meta,groups,23,23 groups
LABEL:poland-based-cib-network,Poland Based Cib Network,Poland,meta,accounts,1,1 account
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,accounts,5,5 accounts
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,pages,2,2 pages
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,groups,3,3 groups
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,accounts,67,67 accounts
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,pages,70,70 pages
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,groups,2,2 groups
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,accounts,10,10 accounts
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,pages,2,2 Pages
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,accounts,9,9 accounts
LABEL:china-based-cib-network,China Based Cib Network,China,meta,accounts,154,154 Accounts
LABEL:china-based-cib-network,China Based Cib Network,China,meta,pages,23,23 Pages
LABEL:china-based-cib-network,China Based Cib Network,China,meta,accounts,1,1 Account
LABEL:iran-based-cib-network,Iran Based Cib Network,Iran,meta,accounts,8,8 accounts
LABEL:iran-based-cib-network,Iran Based Cib Network,Iran,meta,pages,2,2 Pages
LABEL:iran-based-cib-network,Iran Based Cib Network,Iran,meta,accounts,294,294 accounts
LABEL:iran-based-cib-network,Iran Based Cib Network,Iran,meta,accounts,367,367 Accounts
LABEL:iran-based-cib-network,Iran Based Cib Network,Iran,meta,pages,3,3 Pages
LABEL:iran-based-cib-network,Iran Based Cib Network,Iran,meta,accounts,360,360 Accounts
LABEL:pakistan-based-cib-network,Pakistan Based Cib Network,Pakistan,meta,accounts,23,23 Accounts
LABEL:pakistan-based-cib-network,Pakistan Based Cib Network,Pakistan,meta,pages,8,8 Pages
LABEL:pakistan-based-cib-network,Pakistan Based Cib Network,Pakistan,meta,accounts,14,14 Accounts
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,accounts,37,37 Accounts
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,pages,29,29 Pages
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,accounts,52,52 Accounts
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,pages,134,134 Pages
LABEL:russia-based-cib-network,Russia Based Cib Network,Russia,meta,accounts,35,35 Accounts
LABEL:tiktok-cio-takedowns-15-operations-jan-apr,"Tiktok Cio Takedowns (15 Operations, Jan-Apr )",,tiktok,accounts,3001,3001 accounts
LABEL:tiktok-cio-takedowns-15-operations-jan-apr,"Tiktok Cio Takedowns (15 Operations, Jan-Apr )",,tiktok,accounts,3001,"Aggregate: 15 influence operations, 3,001 accounts; majority targeted political "
IRA,Internet Research Agency,Russia,x,accounts,3841,3841 accounts
LABEL:iran-io-network,Iran Io Network,Iran,x,accounts,770,770 accounts
LABEL:catalan-independence-network,Catalan Independence Network,,x,accounts,130,130 accounts
IRA,Internet Research Agency,Russia,x,accounts,4,4 accounts
LABEL:iran-io-sets,Iran Io ( Sets),Iran,x,accounts,4779,4779 accounts
LABEL:venezuela-commercial-network,Venezuela Commercial Network,Venezuela,x,accounts,33,33 accounts
LABEL:prc-hong-kong-network,Prc/Hong Kong Network,,x,accounts,4301,4301 accounts
LABEL:dotdev-uae-egypt,Dotdev (Uae & Egypt),United Arab Emirates,x,accounts,271,271 accounts
LABEL:pais-alliance-network,Pais Alliance Network,,x,accounts,1019,1019 accounts
LABEL:partido-popular-network,Partido Popular Network,,x,accounts,259,259 accounts
LABEL:saudi-state-media-accounts,Saudi State-Media Accounts,,x,accounts,6,6 accounts
LABEL:uae-network-qatar-yemen-targeting,Uae Network (Qatar/Yemen Targeting),United Arab Emirates,x,accounts,4248,4248 accounts
LABEL:cuba-io-network,Cuba Io Network,Cuba,x,accounts,526,526 accounts
LABEL:iran-io-network,Iran Io Network,Iran,x,accounts,104,104 accounts
LABEL:saudi-io-network,Saudi Io Network,,x,accounts,33,33 accounts
LABEL:thailand-io-network,Thailand Io Network,Thailand,x,accounts,926,926 accounts
LABEL:russia-io-network-accounts,Russia Io Network ( Accounts),Russia,x,accounts,5,5 accounts
LABEL:changyu-culture-network,Changyu Culture Network,,x,accounts,112,112 accounts
LABEL:fichuatanzania-targeting-network,Fichuatanzania-Targeting Network,,x,accounts,268,268 accounts
LABEL:government-narrative-network,Government-Narrative Network,,x,accounts,277,277 accounts
LABEL:government-support-network,Government-Support Network,,x,accounts,276,276 accounts
IRA,Internet Research Agency,Russia,x,accounts,16,16 accounts
LABEL:libya-syria-operation,Libya/Syria Operation,Syria,x,accounts,50,50 accounts
LABEL:pro-museveni-network,Pro-Museveni Network,,x,accounts,418,418 accounts
LABEL:uyghur-narrative-network,Uyghur-Narrative Network,,x,accounts,2048,2048 accounts
