actor_id,actor_name,is_named,country,n_providers,providers,n_rows
LABEL:vietnam-based-cib-network,Vietnam Based Cib Network,False,Vietnam,1,meta,37
LABEL:lebanon-based-cib-network,Lebanon Based Cib Network,False,Lebanon,1,meta,20
LABEL:moldova-based-cib-network,Moldova Based Cib Network,False,Moldova,1,meta,57
LABEL:benin-based-cib-network,Benin Based Cib Network,False,Benin,1,meta,12
LABEL:ghana-based-cib-network,Ghana Based Cib Network,False,Ghana,1,meta,19
LABEL:romania-based-cib-network,Romania Based Cib Network,False,Romania,1,meta,23
LABEL:belarus-based-cib-network,Belarus Based Cib Network,False,Belarus,1,meta,16
LABEL:poland-based-cib-network,Poland Based Cib Network,False,Poland,1,meta,10
LABEL:pakistan-based-cib-network,Pakistan Based Cib Network,False,Pakistan,1,meta,17
LABEL:dprk-it-worker-scheme,Dprk It Worker Scheme,False,North Korea,1,openai,1
LABEL:helgoland-bite,Helgoland Bite,False,,1,openai,4
LABEL:high-five-comm-sense-inc,High Five (Comm&Sense Inc),False,,1,openai,1
STORM-2035,Storm-2035,True,Iran,1,openai,2
LABEL:scopecreep,Scopecreep,False,,1,openai,5
LABEL:sneer-review,Sneer Review,False,,1,openai,2
LABEL:uncle-spam,Uncle Spam,False,,1,openai,3
LABEL:vague-focus-vag-group-front,Vague Focus (Vag Group Front),False,,1,openai,4
APT5,Keyhole Panda (APT5),True,China,1,openai,1
LABEL:wrong-number,Wrong Number,False,,1,openai,3
LABEL:cambodia-myanmar-nigeria-scam-networks,Cambodia / Myanmar / Nigeria Scam Networks,False,Cambodia,1,openai,1
LABEL:korean-language-operators-likely-dprk-unconfirme,"Korean-Language Operators (Likely Dprk, Unconfirmed)",False,North Korea,1,openai,3
LABEL:nine-emdash-line,Nine-Emdash Line,False,,1,openai,3
LABEL:prc-government-linked-authoritarian-tooling,Prc Government-Linked Authoritarian Tooling,False,,1,openai,1
LABEL:russian-language-malware-tooling-developer,Russian-Language Malware Tooling Developer,False,,1,openai,1
LABEL:stop-news,Stop News,False,,1,openai,4
LABEL:uta0388-unk-droppitch,Uta0388 / Unk_Droppitch,False,,1,openai,5
LABEL:indonesia-targeting-network,Indonesia-Targeting Network,False,Indonesia,1,tiktok,1
LABEL:tiktok-cio-takedowns-15-operations-jan-apr,"Tiktok Cio Takedowns (15 Operations, Jan-Apr )",False,,1,tiktok,1
LABEL:uk-targeting-network,Uk-Targeting Network,False,,1,tiktok,1
LABEL:iran-io-network,Iran Io Network,False,Iran,1,x,2
LABEL:catalan-independence-network,Catalan Independence Network,False,,1,x,1
LABEL:iran-io-sets,Iran Io ( Sets),False,Iran,1,x,1
LABEL:venezuela-commercial-network,Venezuela Commercial Network,False,Venezuela,1,x,1
LABEL:prc-hong-kong-network,Prc/Hong Kong Network,False,,1,x,1
LABEL:dotdev-uae-egypt,Dotdev (Uae & Egypt),False,United Arab Emirates,1,x,1
LABEL:pais-alliance-network,Pais Alliance Network,False,,1,x,1
LABEL:partido-popular-network,Partido Popular Network,False,,1,x,1
LABEL:saudi-state-media-accounts,Saudi State-Media Accounts,False,,1,x,1
LABEL:uae-network-qatar-yemen-targeting,Uae Network (Qatar/Yemen Targeting),False,United Arab Emirates,1,x,1
LABEL:cuba-io-network,Cuba Io Network,False,Cuba,1,x,1
LABEL:saudi-io-network,Saudi Io Network,False,,1,x,1
LABEL:thailand-io-network,Thailand Io Network,False,Thailand,1,x,1
LABEL:russia-io-network-accounts,Russia Io Network ( Accounts),False,Russia,1,x,1
LABEL:changyu-culture-network,Changyu Culture Network,False,,1,x,1
LABEL:fichuatanzania-targeting-network,Fichuatanzania-Targeting Network,False,,1,x,1
LABEL:government-narrative-network,Government-Narrative Network,False,,1,x,1
LABEL:government-support-network,Government-Support Network,False,,1,x,1
LABEL:libya-syria-operation,Libya/Syria Operation,False,Syria,1,x,1
LABEL:pro-museveni-network,Pro-Museveni Network,False,,1,x,1
LABEL:uyghur-narrative-network,Uyghur-Narrative Network,False,,1,x,1
