actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Iran IO (3 sets),influence_operation,x,X/Twitter state-linked IO archive (Jun 2019 disclosure),2019-06-13,https://blog.x.com/en_us/topics/company/2019/information-ops-on-twitter,asset_count,4779 accounts,Iran,,,,none,,News/Israel/political personas,2026-09-12
IRA-linked accounts,influence_operation,x,X/Twitter state-linked IO archive (Jun 2019 disclosure),2019-06-13,https://blog.x.com/en_us/topics/company/2019/information-ops-on-twitter,asset_count,4 accounts,Russia,,,,none,,,2026-09-12
Catalan independence network,influence_operation,x,X/Twitter state-linked IO archive (Jun 2019 disclosure),2019-06-13,https://blog.x.com/en_us/topics/company/2019/information-ops-on-twitter,asset_count,130 accounts,Spain,,,,none,,Catalan referendum content,2026-09-12
Venezuela commercial network,influence_operation,x,X/Twitter state-linked IO archive (Jun 2019 disclosure),2019-06-13,https://blog.x.com/en_us/topics/company/2019/information-ops-on-twitter,asset_count,33 accounts,Venezuela,,,,none,,"Commercial entity, revised attribution",2026-09-12
