actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Government-support network,influence_operation,x,X/Twitter state-linked IO archive (Dec 2021 disclosure),2021-12-02,https://blog.x.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed,asset_count,276 accounts,Mexico,,,,none,,Civic content supporting government initiatives,2026-09-12
Uyghur-narrative network,influence_operation,x,X/Twitter state-linked IO archive (Dec 2021 disclosure),2021-12-02,https://blog.x.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed,asset_count,2048 accounts,China,,,,none,,Representative sample; Uyghur narratives,2026-09-12
Changyu Culture network,influence_operation,x,X/Twitter state-linked IO archive (Dec 2021 disclosure),2021-12-02,https://blog.x.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed,asset_count,112 accounts,China,,,,none,,,2026-09-12
IRA-linked CAR operation,influence_operation,x,X/Twitter state-linked IO archive (Dec 2021 disclosure),2021-12-02,https://blog.x.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed,asset_count,16 accounts,Russia,Central African Republic,,,none,,,2026-09-12
Libya/Syria operation,influence_operation,x,X/Twitter state-linked IO archive (Dec 2021 disclosure),2021-12-02,https://blog.x.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed,asset_count,50 accounts,Russia,,,,none,,,2026-09-12
FichuaTanzania-targeting network,influence_operation,x,X/Twitter state-linked IO archive (Dec 2021 disclosure),2021-12-02,https://blog.x.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed,asset_count,268 accounts,Tanzania,,,,none,,,2026-09-12
Pro-Museveni network,influence_operation,x,X/Twitter state-linked IO archive (Dec 2021 disclosure),2021-12-02,https://blog.x.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed,asset_count,418 accounts,Uganda,,,,none,,,2026-09-12
Government-narrative network,influence_operation,x,X/Twitter state-linked IO archive (Dec 2021 disclosure),2021-12-02,https://blog.x.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed,asset_count,277 accounts,Venezuela,,,,none,,,2026-09-12
